guideline_id,disease_name,recommended_drug_class,line_of_treatment,decision_factors,contraindications_summary
G883,Postherpetic Neuralgia (after shingles),Gabapentinoids (Gabapentin, Pregabalin),1st Line,"First-line neuropathic pain",Dizziness; somnolence; peripheral edema
G884,Postherpetic Neuralgia (after shingles),Tricyclic Antidepressants (Amitriptyline),1st Line,"Alternative first-line",Anticholinergic; sedation; cardiotoxicity
G885,Postherpetic Neuralgia (after shingles),Lidocaine Patch,2nd Line,"Localized pain",Local irritation
G886,Trigeminal Neuralgia (Classical),Carbamazepine,1st Line,"First-line",Hyponatremia; rash; aplastic anemia; dizziness
G887,Trigeminal Neuralgia (Classical),Oxcarbazepine,1st Line,"Better tolerated than carbamazepine",Hyponatremia; dizziness
G888,Trigeminal Neuralgia (Classical),Microvascular Decompression,2nd Line,"If medical therapy fails, suitable candidate",Surgical risk; hearing loss; facial numbness
G889,Trigeminal Neuralgia (Secondary),Treat underlying cause,1st Line,"MS, tumor",As per cause
G890,Glossopharyngeal Neuralgia,Carbamazepine or Oxcarbazepine,1st Line,"As trigeminal neuralgia",As above
G891,Glossopharyngeal Neuralgia,Microvascular Decompression,2nd Line,"Refractory",As above
G892,Occipital Neuralgia,NSAIDs,1st Line,"Acute pain",GI; renal; bleeding
G893,Occipital Neuralgia,Nerve Blocks (Local Anesthetic + Steroid),2nd Line,"Diagnostic and therapeutic",Pain; infection; bleeding
G894,Complex Regional Pain Syndrome (CRPS) Type I,Physical Therapy,1st Line,"Rehabilitation",None
G895,Complex Regional Pain Syndrome (CRPS) Type I,Gabapentinoids,1st Line,"Neuropathic pain",As above
G896,Complex Regional Pain Syndrome (CRPS) Type I,Bisphosphonates,2nd Line,"Reduce bone pain, inflammation",Osteonecrosis; hypocalcemia
G897,Complex Regional Pain Syndrome (CRPS) Type I,IV Ketamine,3rd Line,"Severe refractory",Psychomimetic; bladder toxicity
G898,Phantom Limb Pain,Gabapentinoids,1st Line,"First-line",As above
G899,Phantom Limb Pain,TCAs,1st Line,"Alternative",As above
G900,Phantom Limb Pain,Mirror Therapy,2nd Line,"Adjunct",None
G901,Central Post-Stroke Pain,Amitriptyline,1st Line,"First-line",As above
G902,Central Post-Stroke Pain,Gabapentin,1st Line,"Alternative",As above
G903,Central Post-Stroke Pain,Lamotrigine,2nd Line,"May be effective",Stevens-Johnson; rash
G904,Spinal Cord Injury Pain,Gabapentinoids,1st Line,"As above",As above
G905,Spinal Cord Injury Pain,Baclofen (Oral or Intrathecal),2nd Line,"Spasticity-related pain",Sedation; weakness; withdrawal
G906,Multiple Sclerosis (Pain),Gabapentinoids,1st Line,"As above",As above
G907,Multiple Sclerosis (Pain),TCAs,1st Line,"As above",As above
G908,Parkinson's Disease (Pain),Optimize Dopaminergic Therapy,1st Line,"Often related to off-periods",Dyskinesia; hallucinations
G909,Parkinson's Disease (Pain),Analgesics (NSAIDs, acetaminophen),2nd Line,"Musculoskeletal pain",As per drug
G910,Diabetic Peripheral Neuropathy (Painful),Pregabalin or Gabapentin,1st Line,"FDA approved",As above
G911,Diabetic Peripheral Neuropathy (Painful),Duloxetine (SNRI),1st Line,"FDA approved",Nausea; hypertension; hepatotoxicity
G912,Diabetic Peripheral Neuropathy (Painful),Amitriptyline,1st Line,"Effective, but more side effects",As above
G913,Diabetic Peripheral Neuropathy (Painful),Topical Capsaicin,2nd Line,"Localized pain",Burning; irritation
G914,Alcoholic Neuropathy (Painful),Thiamine (Vitamin B1),1st Line,"Treat deficiency",None
G915,Alcoholic Neuropathy (Painful),Gabapentinoids,2nd Line,"Symptom relief",As above
G916,HIV-associated Neuropathy (Painful),Duloxetine,1st Line,"First-line",As above
G917,HIV-associated Neuropathy (Painful),Gabapentin,1st Line,"First-line",As above
G918,HIV-associated Neuropathy (Painful),Topical Capsaicin,2nd Line,"Localized",As above
G919,Chemotherapy-induced Peripheral Neuropathy (CIPN),Duloxetine,1st Line,"Moderate evidence",As above
G920,Chemotherapy-induced Peripheral Neuropathy (CIPN),Exercise,1st Line,"Adjunct",None
G921,Chemotherapy-induced Peripheral Neuropathy (CIPN),Gabapentinoids,2nd Line,"Limited evidence",As above
G922,Guillain-Barré Syndrome (Acute Inflammatory Demyelinating Polyneuropathy),IVIG,1st Line,"All patients with severe disease",Headache; thrombosis; anaphylaxis
G923,Guillain-Barré Syndrome (Acute Inflammatory Demyelinating Polyneuropathy),Plasma Exchange,1st Line,"Alternative to IVIG",Catheter complications; hypotension
G924,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),Corticosteroids,1st Line,"First-line",Infection; osteoporosis; hyperglycemia
G925,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),IVIG,1st Line,"First-line",As above
G926,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),Plasma Exchange,1st Line,"Alternative",As above
G927,Multifocal Motor Neuropathy (MMN),IVIG,1st Line,"Highly effective",As above
G928,Multifocal Motor Neuropathy (MMN),Cyclophosphamide,2nd Line,"Refractory",Infection; bladder toxicity; infertility
G929,Myasthenia Gravis (Generalized),Pyridostigmine (Acetylcholinesterase inhibitor),1st Line,"Symptomatic treatment",GI cramps; diarrhea; bradycardia
G930,Myasthenia Gravis (Generalized),Corticosteroids,1st Line,"Immunosuppression",As above
G931,Myasthenia Gravis (Generalized),Azathioprine or Mycophenolate,2nd Line,"Steroid-sparing",As per drug
G932,Myasthenia Gravis (Generalized),IVIG or Plasma Exchange,3rd Line,"Crisis, pre-op",As above
G933,Myasthenia Gravis (Ocular),Pyridostigmine,1st Line,"First-line",As above
G934,Myasthenia Gravis (Ocular),Corticosteroids,2nd Line,"If inadequate response",As above
G935,Lambert-Eaton Myasthenic Syndrome,Amifampridine (3,4-DAP),1st Line,"Potassium channel blocker",Paresthesia; seizures; arrhythmias
G936,Lambert-Eaton Myasthenic Syndrome,Immunosuppression (Prednisone, Azathioprine),2nd Line,"If associated with SCLC or autoimmune",As above
G937,Lambert-Eaton Myasthenic Syndrome,Treat underlying cancer,1st Line,"If paraneoplastic",As per cancer
G938,Botulism (Foodborne),Antitoxin (Equine),1st Line,"Early administration",Anaphylaxis; serum sickness
G939,Botulism (Foodborne),Supportive (ICU, mechanical ventilation),1st Line,"Airway management",None
G940,Botulism (Infant),Human Botulism Immune Globulin (BabyBIG),1st Line,"Neutralize toxin",Hypersensitivity; volume overload
G941,Botulism (Wound),Antitoxin + Wound Debridement,1st Line,"As above",As above
G942,Tetanus (Generalized),Tetanus Immune Globulin (TIG),1st Line,"Neutralize unbound toxin",Anaphylaxis; serum sickness
G943,Tetanus (Generalized),Metronidazole,1st Line,"Eradicate C. tetani",Disulfiram-like; metallic taste
G944,Tetanus (Generalized),Wound Debridement,1st Line,"Remove source",None
G945,Tetanus (Generalized),Muscle Relaxants (Benzodiazepines, Baclofen),1st Line,"Control spasms",Sedation; respiratory depression
G946,Tetanus (Generalized),Autonomic Instability Management (Magnesium, Labetalol),2nd Line,"Hemodynamic support",Hypotension; bradycardia
G947,Tetanus (Neonatal),As above,1st Line,As above,As above
G948,Tetanus (Cephalic),As above,1st Line,As above,As above
G949,Diphtheria (Respiratory),Antitoxin (Equine),1st Line,"Neutralize toxin",Anaphylaxis; serum sickness
G950,Diphtheria (Respiratory),Antibiotics (Erythromycin or Penicillin),1st Line,"Eradicate bacteria",QT prolongation; allergy
G951,Diphtheria (Cutaneous),Wound care + Antibiotics,1st Line,"Treat infection",As above
G952,Pertussis (Whooping Cough),Macrolide Antibiotics (Azithromycin),1st Line,"Eradicate bacteria, reduce transmission",QT prolongation; GI
G953,Pertussis (Whooping Cough),Supportive (O2, suction),1st Line,"Symptom management",None
G954,Haemophilus influenzae type b (Meningitis),Antibiotics (Ceftriaxone),1st Line,"Empiric therapy",Allergy; biliary sludging
G955,Haemophilus influenzae type b (Meningitis),Corticosteroids (Dexamethasone),1st Line,"Adjunct to reduce hearing loss",Infection; hyperglycemia
G956,Streptococcus pneumoniae (Pneumococcal Meningitis),Antibiotics (Ceftriaxone + Vancomycin),1st Line,"Empiric until susceptibilities",As above
G957,Streptococcus pneumoniae (Pneumococcal Meningitis),Dexamethasone,1st Line,"Adjunct",As above
G958,Neisseria meningitidis (Meningococcal Meningitis),Antibiotics (Ceftriaxone),1st Line,"Empiric",As above
G959,Neisseria meningitidis (Meningococcal Meningitis),Chemoprophylaxis for contacts (Rifampin, Ciprofloxacin),1st Line,"Close contacts",Drug interactions; pregnancy caution
G960,Neisseria meningitidis (Meningococcemia),IV Antibiotics + ICU Support,1st Line,"Treat sepsis",As above
G961,Listeria monocytogenes (Meningitis, Neonatal),Ampicillin + Gentamicin,1st Line,"Synergistic",Renal toxicity; ototoxicity
G962,Listeria monocytogenes (Meningitis, Adult),Ampicillin + Gentamicin,1st Line,"First-line",As above
G963,Group B Streptococcus (Neonatal Sepsis),Ampicillin + Gentamicin,1st Line,"Empiric",As above
G964,Escherichia coli (Neonatal Meningitis),Cefotaxime + Ampicillin,1st Line,"Empiric",As above
G965,Staphylococcus aureus (Methicillin-sensitive - MSSA),Nafcillin or Cefazolin,1st Line,"First-line",Allergy; neutropenia; nephritis (nafcillin)
G966,Staphylococcus aureus (Methicillin-resistant - MRSA),Vancomycin,1st Line,"First-line",Red man syndrome; nephrotoxicity; ototoxicity
G967,Staphylococcus aureus (Methicillin-resistant - MRSA),Daptomycin,2nd Line,"If vancomycin failure, intolerance, or bacteremia",CPK elevation; myopathy; not for pneumonia
G968,Staphylococcus epidermidis (Coagulase-negative),Vancomycin,1st Line,"Empiric for device-related infections",As above
G969,Enterococcus faecalis (Vancomycin-susceptible),Ampicillin +/- Gentamicin,1st Line,"For endocarditis, synergy",As above
G970,Enterococcus faecalis (Vancomycin-susceptible),Vancomycin,2nd Line,"If penicillin-allergic",As above
G971,Enterococcus faecium (Vancomycin-resistant - VRE),Linezolid or Daptomycin,1st Line,"Treatment options",Myelosuppression (linezolid); CPK (daptomycin)
G972,Pseudomonas aeruginosa (Healthcare-associated),Anti-pseudomonal Beta-lactam (Cefepime, Piperacillin-tazobactam),1st Line,"Empiric, then tailored",Allergy; C. diff
G973,Pseudomonas aeruginosa (Healthcare-associated),Aminoglycoside (Tobramycin),2nd Line,"Add-on for synergy",Nephrotoxicity; ototoxicity
G974,Acinetobacter baumannii (Multidrug-resistant),Colistin (Polymyxin E),1st Line,"Last-line for XDR",Nephrotoxicity; neurotoxicity
G975,Acinetobacter baumannii (Multidrug-resistant),Tigecycline,2nd Line,"For pneumonia, but low serum levels",GI; pancreatitis
G976,Stenotrophomonas maltophilia,Trimethoprim-sulfamethoxazole,1st Line,"Drug of choice",Sulfa allergy; myelosuppression; hyperkalemia
G977,Burkholderia cepacia,Trimethoprim-sulfamethoxazole or Meropenem,1st Line,"CF patients",As above
G978,Mycobacterium abscessus (Non-tuberculous mycobacteria),Macrolide-based regimen (Clarithromycin + Amikacin + others),1st Line,"Multidrug therapy",Ototoxicity; nephrotoxicity; GI
G979,Mycobacterium avium complex (MAC) - Pulmonary,Clarithromycin + Ethambutol + Rifampin,1st Line,"Treat until culture negative 1 year",Hepatotoxicity; optic neuritis; drug interactions
G980,Mycobacterium avium complex (MAC) - Disseminated,Clarithromycin + Ethambutol +/- Rifabutin,1st Line,"Treat until immune recovery in HIV",As above
G981,Mycobacterium kansasii,Rifampin + Ethambutol + Isoniazid,1st Line,"Treat for 12 months",As above
G982,Mycobacterium marinum (Fish tank granuloma),Minocycline or Clarithromycin or Rifampin + Ethambutol,1st Line,"Usually 3-6 months",As per drug
G983,Mycobacterium ulcerans (Buruli ulcer),Rifampin + Clarithromycin or Rifampin + Streptomycin,1st Line,"8 weeks",As above
G984,Leprosy (Hansen's disease) - Tuberculoid,Dapsone + Rifampin,1st Line,"Paucibacillary (6 months)",Hemolysis; methemoglobinemia; rash
G985,Leprosy (Hansen's disease) - Lepromatous,Dapsone + Rifampin + Clofazimine,1st Line,"Multibacillary (12 months)",Clofazimine skin discoloration; GI
G986,Leprosy (Hansen's disease) - Borderline,As per classification,1st Line,As above,As above
G987,Treponema pallidum (Primary Syphilis),Penicillin G Benzathine (IM),1st Line,"Single dose",Jarisch-Herxheimer; allergy
G988,Treponema pallidum (Secondary Syphilis),Penicillin G Benzathine (IM),1st Line,"Single dose",As above
G989,Treponema pallidum (Tertiary Syphilis - Gummatous),Penicillin G Benzathine (IM) weekly x 3,1st Line,"3 doses",As above
G990,Treponema pallidum (Tertiary Syphilis - Cardiovascular),Aqueous Penicillin G IV for 10-14 days,1st Line,"Neurosyphilis regimen",As above
G991,Treponema pallidum (Neurosyphilis - General paresis),Aqueous Penicillin G IV for 10-14 days,1st Line,"Follow CDC guidelines",As above
G992,Treponema pallidum (Neurosyphilis - Tabes dorsalis),As above,1st Line,As above,As above
G993,Borrelia burgdorferi (Lyme disease - Early localized),Doxycycline,1st Line,"Oral for 10-21 days",Photosensitivity; GI; esophagitis
G994,Borrelia burgdorferi (Lyme disease - Early localized),Amoxicillin or Cefuroxime,1st Line,"Alternatives for pregnant, children",Allergy; GI
G995,Borrelia burgdorferi (Lyme disease - Early disseminated),Doxycycline oral,1st Line,"For mild neurologic (e.g., cranial nerve palsy)",As above
G996,Borrelia burgdorferi (Lyme disease - Early disseminated),IV Ceftriaxone,1st Line,"For meningitis, severe carditis",As above
G997,Borrelia burgdorferi (Lyme disease - Late),Doxycycline oral for 28 days,1st Line,"Arthritis, acrodermatitis",As above
G998,Borrelia recurrentis (Relapsing fever - Louse-borne),Doxycycline or Tetracycline,1st Line,"Single dose",Jarisch-Herxheimer
G999,Borrelia hermsii (Relapsing fever - Tick-borne),Doxycycline or Tetracycline,1st Line,"5-10 days",As above
G1000,Leptospira interrogans (Leptospirosis - Anicteric),Doxycycline,1st Line,"Treat mild cases",As above
G1001,Leptospira interrogans (Leptospirosis - Icteric - Weil's disease),IV Penicillin or Ceftriaxone,1st Line,"Severe disease",Jarisch-Herxheimer
G1002,Yaws,Penicillin G Benzathine,1st Line,"Single dose",Allergy
G1003,Pinta,Penicillin G Benzathine,1st Line,"Single dose",Allergy
G1004,Chlamydia trachomatis (Trachoma),Azithromycin (single dose) or Topical Tetracycline,1st Line,"Mass drug administration",QT prolongation; GI
G1005,Chlamydia trachomatis (Lymphogranuloma venereum - LGV),Doxycycline for 21 days,1st Line,"Treat",Photosensitivity; GI
G1006,Chlamydia psittaci (Psittacosis),Doxycycline,1st Line,"First-line",As above
G1007,Coxiella burnetii (Q fever - Acute),Doxycycline,1st Line,"Treat acute",As above
G1008,Coxiella burnetii (Q fever - Chronic),Doxycycline + Hydroxychloroquine,1st Line,"For endocarditis (18-36 months)",Retinopathy; drug interactions
G1009,Bartonella henselae (Cat scratch disease),Azithromycin,1st Line,"If moderate-severe lymphadenopathy",As above
G1010,Bartonella henselae (Bacillary angiomatosis),Doxycycline + Erythromycin,1st Line,"Treat 3-4 months",As above
G1011,Bartonella quintana (Trench fever),Doxycycline + Gentamicin,1st Line,"Treat",As above
G1012,Brucella melitensis (Brucellosis - Acute),Doxycycline + Streptomycin or Rifampin,1st Line,"Combination for 6 weeks",Ototoxicity (streptomycin); hepatotoxicity (rifampin)
G1013,Francisella tularensis (Tularemia - Ulceroglandular),Streptomycin or Gentamicin,1st Line,"First-line",Nephrotoxicity; ototoxicity
G1014,Francisella tularensis (Tularemia - Ulceroglandular),Doxycycline or Ciprofloxacin,2nd Line,"Oral alternatives for mild cases",As above
G1015,Yersinia pestis (Plague - Bubonic),Streptomycin or Gentamicin,1st Line,"First-line",As above
G1016,Yersinia pestis (Plague - Bubonic),Doxycycline or Ciprofloxacin,2nd Line,"Oral alternatives",As above
G1017,Yersinia pestis (Plague - Pneumonic),Streptomycin or Gentamicin + Doxycycline,1st Line,"Combination",As above
G1018,Pasteurella multocida (Cellulitis after animal bite),Amoxicillin-clavulanate,1st Line,"Oral or IV",GI; allergy
G1019,Capnocytophaga canimorsus (Sepsis after dog bite),Penicillin or Ceftriaxone,1st Line,"IV",Allergy
G1020,Erysipelothrix rhusiopathiae (Erysipeloid),Penicillin,1st Line,"First-line",Allergy
G1021,Spirillum minus (Rat-bite fever - Sodoku),Penicillin,1st Line,"First-line",Allergy
G1022,Streptobacillus moniliformis (Rat-bite fever - Haverhill fever),Penicillin,1st Line,"First-line",Allergy
G1023,Vibrio cholerae (Cholera),Fluid Resuscitation (ORS, IV),1st Line,"Life-saving",None
G1024,Vibrio cholerae (Cholera),Doxycycline (single dose),1st Line,"Reduce duration, volume",As above
G1025,Vibrio parahaemolyticus (Gastroenteritis),Supportive (fluids),1st Line,"Self-limited",None
G1026,Vibrio vulnificus (Wound infection / Sepsis),Doxycycline + Ceftazidime (or Cefotaxime),1st Line,"IV antibiotics",As above
G1027,Aeromonas hydrophila (Wound infection / Gastroenteritis),Doxycycline + Ceftriaxone,1st Line,"For severe",As above
G1028,Plesiomonas shigelloides (Gastroenteritis),Supportive or TMP-SMX,1st Line,"If severe, prolonged",Sulfa allergy
G1029,Campylobacter jejuni (Gastroenteritis),Supportive (fluids),1st Line,"Self-limited",None
G1030,Campylobacter jejuni (Gastroenteritis),Azithromycin or Ciprofloxacin,2nd Line,"If severe, immunocompromised, prolonged",QT; GI
G1031,Helicobacter pylori (Gastritis),PPI + Amoxicillin + Clarithromycin,1st Line,"Triple therapy 14 days",Penicillin allergy: use metronidazole
G1032,Helicobacter pylori (Gastritis),PPI + Bismuth + Metronidazole + Tetracycline,2nd Line,"Quadruple therapy for failure",Tetracycline in pregnancy; renal
G1033,Yersinia enterocolitica (Enterocolitis),Supportive,1st Line,"Self-limited",None
G1034,Yersinia enterocolitica (Enterocolitis),Antibiotics (TMP-SMX, Ciprofloxacin),2nd Line,"Severe, immunocompromised",As above
G1035,Yersinia pseudotuberculosis (Mesenteric lymphadenitis),Supportive,1st Line,"Self-limited",None
G1036,Clostridium perfringens (Food poisoning),Supportive,1st Line,"Self-limited",None
G1037,Clostridium perfringens (Gas gangrene),Surgical Debridement,1st Line,"Emergent",Loss of limb; disfigurement
G1038,Clostridium perfringens (Gas gangrene),Penicillin + Clindamycin,1st Line,"Antibiotics",Allergy; C. diff
G1039,Clostridium difficile (Antibiotic-associated colitis),Oral Vancomycin or Fidaxomicin,1st Line,"First-line",Cost; nephrotoxicity (vancomycin rare oral)
G1040,Clostridium difficile (Antibiotic-associated colitis),Metronidazole,2nd Line,"Only if above not available",Disulfiram-like; neuropathy
G1041,Clostridium difficile (Antibiotic-associated colitis),Fecal Microbiota Transplant,3rd Line,"Recurrent, refractory",Infection risk; procedural
G1042,Clostridium sordellii (Toxic shock syndrome),Surgical Debridement + Antibiotics (Penicillin + Clindamycin),1st Line,"Emergent",As above
G1043,Bacillus anthracis (Cutaneous anthrax),Ciprofloxacin or Doxycycline,1st Line,"Oral for 60 days",As above
G1044,Bacillus anthracis (Inhalational anthrax),IV Ciprofloxacin + Other agents,1st Line,"Combination therapy",As above
G1045,Bacillus cereus (Food poisoning - Emetic),Supportive,1st Line,"Self-limited",None
G1046,Bacillus cereus (Food poisoning - Diarrheal),Supportive,1st Line,"Self-limited",None
G1047,Bacillus cereus (Ocular infections),Intravitreal + IV Antibiotics,1st Line,"Emergent",Vision loss; endophthalmitis
G1048,Listeria monocytogenes (Foodborne febrile gastroenteritis),Supportive,1st Line,"Self-limited",None
G1049,Listeria monocytogenes (Meningitis) (already)
G1050,Listeria monocytogenes (Rhombencephalitis),As above,1st Line,As above,As above
