disease_id,disease_name,therapeutic_area,chronic_or_acute,severity_level,brief_clinical_description,typical_patient_profile,common_comorbidities
DIS530,POEMS Syndrome,Hematology,Chronic,Severe,Paraneoplastic syndrome with polyneuropathy, organomegaly, endocrinopathy, monoclonal protein, skin changes,Adults; >50,Neuropathy; Sclerotic bone lesions; Thrombocytosis
DIS531,TTR Amyloidosis (already)
DIS532,Light Chain Amyloidosis (already)
DIS533,Heavy Chain Disease,Hematology,Chronic,Severe,Rare lymphoproliferative disorder with heavy chain production,Adults; variable,Lymphadenopathy; Hepatosplenomegaly; Anemia
DIS534,Waldenström Macroglobulinemia (already)
DIS535,Monoclonal Gammopathy of Undetermined Significance (MGUS),Hematology,Chronic,Low,Asymptomatic paraproteinemia,Adults >50; elderly,Progression to myeloma or lymphoma
DIS536,Smoldering Multiple Myeloma,Oncology,Chronic,Moderate,Asymptomatic with high paraprotein or bone marrow plasma cells,Adults >60,Progression to active myeloma
DIS537,Multiple Myeloma (already)
DIS538,Plasma Cell Leukemia,Oncology,Acute,Severe,Rare aggressive plasma cell dyscrasia,Adults; primary or secondary,Pancytopenia; Renal failure; Poor prognosis
DIS539,Solitary Plasmacytoma (Bone),Oncology,Chronic,Moderate,Single bone lesion with plasma cells,Adults; >50,Local pain; Risk of progression
DIS540,Extramedullary Plasmacytoma,Oncology,Chronic,Moderate,Single soft tissue plasma cell tumor,Adults; upper respiratory tract,Local symptoms; Progression risk
DIS541,MALT Lymphoma (Gastric),Oncology,Chronic,Moderate,Extranodal marginal zone lymphoma associated with H. pylori,Adults; H. pylori infection,Abdominal pain; Bleeding; Responds to H. pylori eradication
DIS542,Follicular Lymphoma,Oncology,Chronic,Moderate,Indolent B-cell lymphoma with follicular pattern,Adults >60; advanced stage,Asymptomatic lymphadenopathy; Spontaneous regression
DIS543,Marginal Zone Lymphoma (Nodal),Oncology,Chronic,Moderate,Indolent B-cell lymphoma,Adults; autoimmune disease,Lymphadenopathy; Extranodal may occur
DIS544,Splenic Marginal Zone Lymphoma,Oncology,Chronic,Moderate,Indolent lymphoma with splenomegaly,Adults; HCV association,Splenomegaly; Cytopenias; Fatigue
DIS545,Lymphoplasmacytic Lymphoma (already Waldenström)
DIS546,Mantle Cell Lymphoma (already)
DIS547,Diffuse Large B-cell Lymphoma (already)
DIS548,Burkitt Lymphoma (already)
DIS549,Primary CNS Lymphoma,Oncology,Chronic,Severe,Diffuse large B-cell lymphoma confined to CNS,Immunocompromised; elderly,Neurologic deficits; Seizures; Mass lesion
DIS550,Primary Effusion Lymphoma,Oncology,Acute,Severe,HHV-8-associated lymphoma in body cavities,HIV; effusions without mass,Pleural/peritoneal effusion; Poor prognosis
DIS551,Anaplastic Large Cell Lymphoma,Oncology,Chronic,Severe,CD30+ T-cell lymphoma,Children; young adults; ALK+,Peripheral lymphadenopathy; Extranodal
DIS552,Peripheral T-cell Lymphoma (NOS),Oncology,Chronic,Severe,Heterogeneous group of T-cell lymphomas,Adults; aggressive,Lymphadenopathy; Skin; Bone marrow; Poor prognosis
DIS553,Angioimmunoblastic T-cell Lymphoma,Oncology,Chronic,Severe,EBV-associated T-cell lymphoma,Elderly; systemic symptoms,Lymphadenopathy; Rash; Polyclonal gammopathy; Autoimmune phenomena
DIS554,Enteropathy-associated T-cell Lymphoma,Oncology,Acute,Severe,Complication of celiac disease,Adults with refractory celiac,Intestinal perforation; Obstruction; Malnutrition
DIS555,Extranodal NK/T-cell Lymphoma (Nasal type),Oncology,Chronic,Severe,EBV-associated lymphoma with necrosis,Middle-aged; Asian; Central/South America,Nasal obstruction; Midline destruction; Hemophagocytosis
DIS556,Mycosis Fungoides (Cutaneous T-cell),Oncology,Chronic,Moderate,Indolent cutaneous lymphoma,Adults >50; male,Patches; Plaques; Tumors; Sézary syndrome progression
DIS557,Sézary Syndrome,Oncology,Chronic,Severe,Leukemic variant of cutaneous T-cell lymphoma,Adults; erythroderma,Generalized erythroderma; Lymphadenopathy; Pruritus
DIS558,Primary Cutaneous Anaplastic Large Cell Lymphoma,Oncology,Chronic,Moderate,CD30+ cutaneous lymphoma,Adults; solitary or localized nodules,Spontaneous regression; Good prognosis
DIS559,Subcutaneous Panniculitis-like T-cell Lymphoma,Oncology,Chronic,Severe,Rare cytotoxic T-cell lymphoma infiltrating subcutaneous tissue,Adults; autoimmune,Subcutaneous nodules; Hemophagocytic syndrome
DIS560,Blastic Plasmacytoid Dendritic Cell Neoplasm,Oncology,Acute,Severe,Aggressive hematologic malignancy,Adults; elderly; skin lesions,Cutaneous; Leukemic dissemination; Poor prognosis
DIS561,Acute Myeloid Leukemia (with maturation),Oncology,Acute,Severe,AML subtype with maturation,Adults; cytogenetics,Leukostasis; DIC; Infection
DIS562,Acute Promyelocytic Leukemia,Oncology,Acute,Severe,AML M3 with t(15;17),Adults; young,Bleeding diathesis; DIC; APL differentiation syndrome
DIS563,Acute Monoblastic Leukemia,Oncology,Acute,Severe,AML M5 with monocytic differentiation,Children; adults,Extramedullary infiltration; Gingival hyperplasia; CNS
DIS564,Erythroleukemia,Oncology,Acute,Severe,Rare AML with erythroid predominance,Adults; elderly,Cytopenias; Bone marrow failure
DIS565,Megakaryoblastic Leukemia,Oncology,Acute,Severe,AML with megakaryoblasts,Children (Down syndrome); adults,Myelofibrosis; Organomegaly
DIS566,Acute Undifferentiated Leukemia,Oncology,Acute,Severe,Acute leukemia with no lineage differentiation,Adults; poor prognosis,Leukocytosis; Cytopenias; Early death
DIS567,Mixed Phenotype Acute Leukemia,Oncology,Acute,Severe,Acute leukemia with both lymphoid and myeloid markers,Adults; children,High risk; Poor outcome
DIS568,Blastic Plasmacytoid Dendritic Cell Neoplasm (already)
DIS569,Chronic Myelomonocytic Leukemia,Oncology,Chronic,Severe,Myelodysplastic/myeloproliferative overlap,Elderly; splenomegaly,Monocytosis; Cytopenias; Transformation to AML
DIS570,Juvenile Myelomonocytic Leukemia,Oncology,Chronic,Severe,Rare myeloproliferative neoplasm in children,Infants; young children; RAS pathway mutation,Organomegaly; Monocytosis; Poor prognosis
DIS571,Chronic Eosinophilic Leukemia (already)
DIS572,Chronic Neutrophilic Leukemia (already)
DIS573,Systemic Mastocytosis (Indolent),Immunology,Chronic,Moderate,Clonal mast cell proliferation without organ damage,Adults; KIT mutation,Urticaria pigmentosa; Anaphylaxis; Osteoporosis
DIS574,Systemic Mastocytosis (Aggressive),Immunology,Chronic,Severe,Mast cell infiltration causing organ dysfunction,Adults; KIT mutation,Cytopenias; Hepatosplenomegaly; Malabsorption
DIS575,Mast Cell Sarcoma,Oncology,Acute,Severe,Rare solid mast cell tumor,Extremely rare,Local destruction; Metastasis
DIS576,Myeloid Sarcoma,Oncology,Acute,Severe,Extramedullary tumor of myeloblasts,AML; prior or concurrent,Local mass; Cytopenias
DIS577,Histiocytic Sarcoma,Oncology,Acute,Severe,Rare malignant proliferation of histiocytes,Adults; variable,Extranodal; Poor prognosis
DIS578,Follicular Dendritic Cell Sarcoma,Oncology,Chronic,Moderate,Rare neoplasm of follicular dendritic cells,Adults; lymph node or extranodal,Slow-growing mass; Recurrence
DIS579,Interdigitating Dendritic Cell Sarcoma,Oncology,Chronic,Moderate,Rare sarcoma,Adults; lymph node,Asymptomatic mass; Variable behavior
DIS580,Langerhans Cell Sarcoma,Oncology,Acute,Severe,High-grade Langerhans cell neoplasm,Adults; aggressive,Multisystem; Poor prognosis
DIS581,Rosai-Dorfman Disease (already)
DIS582,Erdheim-Chester Disease (already)
DIS583,IgG4-related Disease (already)
DIS584,Castleman Disease (already)
DIS585,POEMS Syndrome (already)
DIS586,Tumor-induced Osteomalacia,Endocrinology,Chronic,Moderate,Rare paraneoplastic syndrome with renal phosphate wasting,Adults; mesenchymal tumors,Proximal weakness; Bone pain; Fractures
DIS587,McCune-Albright Syndrome,Endocrinology,Chronic,Moderate,Polyostotic fibrous dysplasia, café-au-lait spots, precocious puberty,Children; girls; GNAS mutation,Fibrous dysplasia; Precocious puberty; Other endocrinopathies
DIS588,Pseudohypoparathyroidism,Endocrinology,Chronic,Moderate,Resistance to PTH with characteristic features,Children; adults; Albright hereditary osteodystrophy,Hypocalcemia; Short stature; Subcutaneous ossifications
DIS589,Pseudopseudohypoparathyroidism,Endocrinology,Chronic,Low,Phenotype of Albright hereditary osteodystrophy without hormone resistance,Adults; family history,Brachydactyly; Short stature; Obesity
DIS590,Multiple Endocrine Neoplasia Type 1,Endocrinology,Chronic,Severe,Aut dominant syndrome with pituitary, parathyroid, pancreas tumors,Adults; family history,Hyperparathyroidism; Pancreatic NET; Pituitary adenoma
DIS591,Multiple Endocrine Neoplasia Type 2A,Endocrinology,Chronic,Severe,Aut dominant with medullary thyroid CA, pheochromocytoma, hyperparathyroidism,Adults; family history,Risk of MTC; Pheochromocytoma
DIS592,Multiple Endocrine Neoplasia Type 2B,Endocrinology,Chronic,Severe,More aggressive MEN2 with mucosal neuromas, marfanoid habitus,Children; young adults; RET mutation,Medullary thyroid CA; Pheochromocytoma; Mucosal neuromas
DIS593,Von Hippel-Lindau Disease,Clinical Genetics,Chronic,Severe,Aut dominant with hemangioblastomas, renal cell CA, pheochromocytoma,Adults; family history,Retinal/CNS hemangioblastomas; RCC; Pheochromocytoma
DIS594,Neurofibromatosis Type 2,Clinical Genetics,Chronic,Severe,Aut dominant with bilateral acoustic neuromas,Adults; family history,Vestibular schwannomas; Meningiomas; Cataracts
DIS595,Tuberous Sclerosis Complex,Clinical Genetics,Chronic,Severe,Aut dominant with hamartomas in multiple organs,Children; TSC1/TSC2 mutations,Seizures; Angiofibromas; Renal angiomyolipomas; LAM
DIS596,Sturge-Weber Syndrome,Clinical Genetics,Chronic,Moderate,Sporadic with facial port-wine stain and leptomeningeal angioma,Infants; GNAQ mutation,Glaucoma; Seizures; Stroke-like episodes
DIS597,Hereditary Hemorrhagic Telangiectasia (already)
DIS598,Blue Rubber Bleb Nevus Syndrome,Clinical Genetics,Chronic,Moderate,Rare with multiple venous malformations,Infants; adults,GI bleeding; Anemia; Pain
DIS599,Klippel-Trenaunay Syndrome,Clinical Genetics,Chronic,Moderate,Congenital vascular malformation with limb overgrowth,Infants; sporadic,Port-wine stain; Varicosities; Limb hypertrophy
DIS600,Proteus Syndrome,Clinical Genetics,Chronic,Severe,Rare overgrowth syndrome,Infants; AKT1 mutation,Progressive asymmetric overgrowth; Tumor risk
DIS601,Long QT Syndrome Type 1,Cardiology,Chronic,Severe,Channelopathy affecting KCNQ1 gene leading to prolonged QT interval and arrhythmias,Children/young adults; triggered by exercise,Syncope; Sudden cardiac death
DIS602,Long QT Syndrome Type 2,Cardiology,Chronic,Severe,Channelopathy affecting KCNH2 gene; arrhythmias triggered by emotions or startle,Adolescents; adults,Syncope; Sudden death; auditory triggers
DIS603,Long QT Syndrome Type 3,Cardiology,Chronic,Severe,SCN5A mutation causing late sodium current; arrhythmias during sleep,Adults; bradycardia,Life-threatening arrhythmias
DIS604,Catecholaminergic Polymorphic Ventricular Tachycardia,Cardiology,Chronic,Severe,Ryanodine receptor mutation causing bidirectional VT with exercise,Children; young adults,Syncope; Sudden death
DIS605,Brugada Syndrome,Cardiology,Chronic,Severe,SCN5A mutation causing ST elevation in V1-V3 and risk of ventricular fibrillation,Men 30-40; Asian descent,Syncope; Sudden nocturnal death
DIS606,Arrhythmogenic Right Ventricular Cardiomyopathy,Cardiology,Chronic,Severe,Fibrofatty replacement of RV myocardium; desmosomal mutations,Young adults; athletes,Ventricular arrhythmias; Heart failure
DIS607,Left Ventricular Noncompaction,Cardiology,Chronic,Moderate,Prominent trabeculations due to arrested myocardial development,Infants; adults,Heart failure; Thromboembolism; Arrhythmias
DIS608,Restrictive Cardiomyopathy (Idiopathic),Cardiology,Chronic,Severe,Impaired ventricular filling with normal wall thickness,Adults; elderly,Heart failure; Atrial fibrillation; Thromboembolism
DIS609,Cardiac Amyloidosis (ATTR wild-type),Cardiology,Chronic,Severe,Transthyretin amyloid deposition in elderly,Men >70; carpal tunnel syndrome,Heart failure; Neuropathy; Atrial fibrillation
DIS610,Cardiac Amyloidosis (ATTR hereditary),Cardiology,Chronic,Severe,Mutant TTR amyloidosis,Portuguese; Swedish; Japanese descent,Neuropathy; Cardiomyopathy; Autonomic dysfunction
DIS611,Fabry Disease (Cardiac variant),Cardiology,Chronic,Moderate,Alpha-galactosidase A deficiency leading to LVH and conduction abnormalities,Men 40-50; women carriers,LVH; Kidney disease; Stroke
DIS612,Danon Disease,Cardiology,Chronic,Severe,LAMP-2 mutation causing hypertrophic cardiomyopathy and skeletal myopathy,Boys; young men,Cardiomyopathy; Intellectual disability; Myopathy
DIS613,Pompe Disease (Late-onset),Cardiology,Chronic,Moderate,Acid alpha-glucosidase deficiency causing glycogen accumulation in heart and muscle,Children; adults,Proximal weakness; Respiratory failure; Cardiomyopathy
DIS614,Erdheim-Chester Disease (Cardiac),Cardiology,Chronic,Severe,Non-Langerhans histiocytosis with cardiac involvement,Adults 40-70; male,Pericardial infiltration; Heart failure; Atrial mass
DIS615,Kawasaki Disease (Acute),Cardiology,Acute,Severe,Acute systemic vasculitis in children causing coronary aneurysms,Infants <5; Asian,Coronary artery aneurysms; Myocarditis; Arthritis
DIS616,Acute Rheumatic Fever (Carditis),Cardiology,Acute,Severe,Post-streptococcal autoimmune complication with pancarditis,Children 5-15; developing countries,Valvular regurgitation; Heart failure; Chorea
DIS617,Infective Endocarditis (Right-sided),Cardiology,Acute,Severe,Infection of tricuspid valve in IV drug users,IV drug users; young adults,Septic pulmonary emboli; Sepsis; Heart failure
DIS618,Nonbacterial Thrombotic Endocarditis,Cardiology,Acute,Moderate,Sterile vegetations in hypercoagulable states (cancer, SLE),Adults with malignancy; SLE,Embolic events; Stroke
DIS619,Carcinoid Heart Disease,Cardiology,Chronic,Severe,Valvular lesions due to serotonin from metastatic carcinoid,Metastatic carcinoid tumor,Right-sided valve regurgitation; Heart failure
DIS620,Cardiac Tumors (Myxoma),Cardiology,Chronic,Moderate,Benign primary cardiac tumor (left atrium),Adults 30-60; female,Embolism; Obstruction; Constitutional symptoms
DIS621,Cardiac Tumors (Sarcoma),Cardiology,Acute,Severe,Malignant primary cardiac tumor,Adults; poor prognosis,Heart failure; Arrhythmias; Metastasis
DIS622,Pericarditis (Constrictive),Cardiology,Chronic,Moderate,Fibrotic thickening of pericardium limiting filling,Prior cardiac surgery; TB; radiation,Diastolic heart failure; Edema; Ascites
DIS623,Pericardial Effusion (Malignant),Cardiology,Acute,Severe,Pericardial fluid due to metastatic cancer,Lung cancer; breast cancer; lymphoma,Tamponade; Dyspnea; Chest pain
DIS624,Myocarditis (Giant Cell),Cardiology,Acute,Severe,Autoimmune myocarditis with multinucleated giant cells,Adults; rapidly progressive,Heart failure; Ventricular arrhythmias; Death
DIS625,Myocarditis (Eosinophilic),Cardiology,Acute,Severe,Hypersensitivity or parasitic myocarditis,Adults; drug reaction; hypereosinophilic syndrome,Heart failure; Restrictive physiology
DIS626,Chagas Cardiomyopathy,Cardiology,Chronic,Severe,Chronic Trypanosoma cruzi infection causing cardiomyopathy,Latin American immigrants,Heart failure; Thromboembolism; Megaesophagus
DIS627,HIV-associated Cardiomyopathy,Cardiology,Chronic,Moderate,Dilated cardiomyopathy in HIV patients,HIV patients; low CD4,Heart failure; Opportunistic infections
DIS628,Peripartum Cardiomyopathy,Cardiology,Acute,Severe,Heart failure in last month of pregnancy or postpartum,Women; peripartum; African descent,Thromboembolism; Recovery or progression
DIS629,Stress Cardiomyopathy (Takotsubo),Cardiology,Acute,Moderate,Transient LV dysfunction triggered by stress,Postmenopausal women; emotional stress,Heart failure; Arrhythmias; Recovery
DIS630,Coronary Vasospasm (Prinzmetal Angina),Cardiology,Chronic,Moderate,Episodic vasospasm of coronary arteries,Younger; smokers; migraine,Angina at rest; Arrhythmias; MI
DIS631,Myocardial Bridging,Cardiology,Chronic,Low,Congenital band of muscle overlying coronary artery,Young adults; hypertrophic cardiomyopathy,Angina; Ischemia; Arrhythmias
DIS632,Anomalous Coronary Artery,Cardiology,Chronic,Moderate,Aberrant origin of coronary artery,Children; young adults; athletes,Myocardial ischemia; Sudden death
DIS633,Spontaneous Coronary Artery Dissection,Cardiology,Acute,Severe,Non-iatrogenic dissection of coronary artery,Women; peripartum; fibromuscular dysplasia,Acute MI; Sudden death
DIS634,Coronary Artery Fistula,Cardiology,Chronic,Low,Abnormal connection between coronary artery and chamber/vessel,Incidental; children,Steal phenomenon; Heart failure; Endocarditis
DIS635,Kounis Syndrome,Cardiology,Acute,Moderate,Allergic acute coronary syndrome,Adults with allergy; mastocytosis,Chest pain; Hypotension; Urticaria
DIS636,Hypertensive Emergency,Cardiology,Acute,Severe,Severe hypertension with acute target organ damage,Adults with uncontrolled HTN; medication nonadherence,Stroke; AKI; Aortic dissection; Encephalopathy
DIS637,Hypertensive Urgency,Cardiology,Acute,Moderate,Severe hypertension without acute target organ damage,Adults; nonadherence,Asymptomatic; need for BP control
DIS638,Pulmonary Hypertension (Group 1 - PAH),Cardiology,Chronic,Severe,Idiopathic or heritable PAH,Women 30-60; BMPR2 mutation,Right heart failure; Syncope; Raynaud's
DIS639,Pulmonary Hypertension (Group 2 - Left Heart),Cardiology,Chronic,Moderate,PH due to left heart disease,Elderly with HFpEF or HFrEF,Dyspnea; Fatigue; Volume overload
DIS640,Pulmonary Hypertension (Group 3 - Lung Disease),Pulmonology,Chronic,Moderate,PH due to COPD or ILD,Smokers; ILD patients,Dyspnea; Hypoxemia; Cor pulmonale
DIS641,Pulmonary Hypertension (Group 4 - CTEPH),Cardiology,Chronic,Severe,Chronic thromboembolic PH,Prior PE; DVT,Dyspnea; Right heart failure; Hemoptysis
DIS642,Pulmonary Hypertension (Group 5 - Miscellaneous),Cardiology,Chronic,Moderate,PH due to sarcoid, vasculitis, etc.,Underlying condition,Variable
DIS643,Acute Pulmonary Embolism (Massive),Cardiology,Acute,Severe,PE with hypotension or shock,Post-surgery; immobility; cancer,Cardiogenic shock; RV failure; Death
DIS644,Acute Pulmonary Embolism (Submassive),Cardiology,Acute,Severe,PE with RV dysfunction but stable BP,As above,RV dysfunction; Risk of decompensation
DIS645,Chronic Thromboembolic Disease,Cardiology,Chronic,Moderate,Persistent perfusion defects without PH,After PE,Dyspnea; Exercise intolerance
DIS646,Superior Vena Cava Syndrome,Cardiology,Acute,Severe,Obstruction of SVC by tumor or thrombosis,Lung cancer; lymphoma; thrombotic,Facial edema; Dyspnea; Cerebral edema
DIS647,Aortic Aneurysm (Thoracic),Cardiology,Chronic,Severe,Dilation of thoracic aorta,Smokers; hypertensive; Marfan,Rupture; Dissection; Aortic regurgitation
DIS648,Aortic Aneurysm (Abdominal),Cardiology,Chronic,Severe,Dilation of infrarenal aorta,Men >65; smokers,Rupture; Embolization; Compression
DIS649,Aortic Dissection (Type A),Cardiology,Acute,Severe,Acute dissection involving ascending aorta,Hypertensive; connective tissue disorder; bicuspid valve,Cardiac tamponade; MI; Stroke; Death
DIS650,Aortic Dissection (Type B),Cardiology,Acute,Severe,Acute dissection limited to descending aorta,Hypertensive; elderly,Malperfusion; Rupture; Chronic dissection
DIS651,Intramural Hematoma,Cardiology,Acute,Severe,Hematoma within aortic wall without intimal tear,Hypertensive; elderly,Progression to dissection; Rupture
DIS652,Penetrating Aortic Ulcer,Cardiology,Acute,Severe,Ulceration through intima into media,Atherosclerotic; elderly,Rupture; Dissection; Pseudoaneurysm
DIS653,Marfan Syndrome (Aortic),Cardiology,Chronic,Severe,FBN1 mutation leading to aortic root dilation,Tall individuals; family history,Aortic dissection; Mitral prolapse; Lens dislocation
DIS654,Loeys-Dietz Syndrome,Cardiology,Chronic,Severe,TGFBR mutation causing aggressive aortic disease,Children; young adults; hypertelorism,Aortic dissection; Arterial tortuosity; Cleft palate
DIS655,Ehlers-Danlos Syndrome (Vascular type),Cardiology,Chronic,Severe,COL3A1 mutation with arterial fragility,Thin skin; easy bruising; characteristic facies,Arterial rupture; Organ rupture; Pneumothorax
DIS656,Takayasu Arteritis (Aortic involvement),Cardiology,Chronic,Severe,Granulomatous large vessel vasculitis,Young women; Asian,Aortic stenosis; Aneurysm; Stroke
DIS657,Giant Cell Arteritis (Aortic involvement),Cardiology,Chronic,Severe,Vasculitis of aorta in elderly,Adults >50; female,Aortic aneurysm; Dissection; Blindness
DIS658,Behçet's Disease (Vascular),Rheumatology,Chronic,Severe,Vasculitis with venous thrombosis and arterial aneurysms,Young adults; Mediterranean,Venous thrombosis; Pulmonary artery aneurysm
DIS659,Cogan's Syndrome,Rheumatology,Chronic,Moderate,Autoimmune disease with interstitial keratitis and audiovestibular symptoms,Young adults; autoimmune,Aortitis; Hearing loss; Vision loss
DIS660,Relapsing Polychondritis (Cardiovascular),Rheumatology,Chronic,Moderate,Episodic cartilage inflammation with aortic involvement,Adults; autoimmune,Aortic regurgitation; Aneurysm; Valvulitis
DIS661,Antiphospholipid Syndrome (Catastrophic),Hematology,Acute,Severe,Rapid multi-organ thrombosis due to antiphospholipid antibodies,Adults; SLE; post-surgery,Microthrombosis; ARDS; Renal failure; Death
DIS662,Thrombotic Storm,Hematology,Acute,Severe,Rare syndrome of recurrent thrombosis despite anticoagulation,Adults; underlying thrombophilia,Recurrent DVT/PE; Gangrene; Organ failure
DIS663,Heparin-Induced Thrombocytopenia (HIT),Hematology,Acute,Severe,Immune-mediated thrombocytopenia with thrombosis post-heparin exposure,Hospitalized; post-surgery; heparin use,Venous/arterial thrombosis; Skin necrosis; Amputation
DIS664,Paroxysmal Nocturnal Hemoglobinuria (Thrombosis),Hematology,Chronic,Severe,Complement-mediated hemolysis with high thrombosis risk,Adults; abdominal pain; hemoglobinuria,Hepatic vein thrombosis; Stroke; Pulmonary embolism
DIS665,Essential Thrombocythemia (Thrombosis),Hematology,Chronic,Moderate,Myeloproliferative neoplasm with high platelets and thrombosis risk,Adults >50; JAK2 mutation,Arterial/venous thrombosis; Hemorrhage; Transformation
DIS666,Polycythemia Vera (Thrombosis),Hematology,Chronic,Severe,Increased RBC mass with high thrombosis risk,Adults >60; JAK2 mutation,Thrombosis; Hemorrhage; Pruritus; Gout
DIS667,Sickle Cell Disease (Thrombosis),Hematology,Chronic,Severe,Vaso-occlusive crises and thrombosis risk,African descent; children,Pain crises; Stroke; Pulmonary hypertension
DIS668,Thalassemia Intermedia (Thrombosis),Hematology,Chronic,Moderate,Chronic hemolytic anemia with increased thrombosis risk,Mediterranean descent; splenectomy,Pulmonary embolism; Leg ulcers; Osteoporosis
DIS669,Immune Thrombocytopenia (ITP) - Adult,Hematology,Chronic,Moderate,Autoimmune destruction of platelets,Adults; female,Bleeding; Fatigue; Intracranial hemorrhage (rare)
DIS670,Thrombotic Thrombocytopenic Purpura (TTP) - Acquired,Hematology,Acute,Severe,ADAMTS13 deficiency causing microthrombi,Adults; female; obesity,Neurologic symptoms; Renal failure; Fever
DIS671,Thrombotic Thrombocytopenic Purpura (TTP) - Congenital,Hematology,Chronic,Severe,Upshaw-Schulman syndrome; ADAMTS13 mutation,Neonates; children; triggered by stress,Episodic thrombocytopenia; Hemolysis; Stroke
DIS672,Atypical Hemolytic Uremic Syndrome (aHUS),Nephrology,Acute,Severe,Complement-mediated TMA,Children; adults; complement mutations,AKI; Hypertension; Thrombotic microangiopathy
DIS673,Shiga Toxin-associated HUS (STEC-HUS),Nephrology,Acute,Severe,Post-diarrheal HUS from E. coli O157:H7,Children; outbreaks,AKI; Anemia; Thrombocytopenia
DIS674,IgA Vasculitis (Henoch-Schönlein Purpura) Nephritis,Rheumatology,Acute,Moderate,IgA vasculitis with renal involvement,Children; post-infection,IgA nephropathy-like; Hypertension; Renal impairment
DIS675,ANCA-associated Vasculitis (Granulomatosis with Polyangiitis) - Renal,Rheumatology,Chronic,Severe,Necrotizing glomerulonephritis with respiratory involvement,Adults; Caucasian,RPGN; Pulmonary hemorrhage; Sinusitis
DIS676,ANCA-associated Vasculitis (Microscopic Polyangiitis) - Renal,Rheumatology,Chronic,Severe,Pauci-immune glomerulonephritis,Adults; elderly,RPGN; Pulmonary hemorrhage; Mononeuritis multiplex
DIS677,ANCA-associated Vasculitis (Eosinophilic Granulomatosis with Polyangiitis) - Renal,Rheumatology,Chronic,Moderate,Necrotizing vasculitis with asthma and eosinophilia,Adults; asthma,RPGN; Neuropathy; Cardiac involvement
DIS678,Anti-GBM Disease (Goodpasture Syndrome) - Renal,Rheumatology,Acute,Severe,Anti-GBM antibodies causing crescentic GN and alveolar hemorrhage,Young men; elderly,RPGN; Pulmonary hemorrhage; Rapid progression
DIS679,Lupus Nephritis (Class III),Rheumatology,Chronic,Severe,Focal proliferative GN in SLE,Young women; SLE,Hypertension; Proteinuria; ESRD
DIS680,Lupus Nephritis (Class IV),Rheumatology,Chronic,Severe,Diffuse proliferative GN,As above,Nephritic syndrome; Rapid progression
DIS681,Lupus Nephritis (Class V),Rheumatology,Chronic,Moderate,Membranous GN,Nephrotic syndrome; Thrombosis
DIS682,IgA Nephropathy (Berger's Disease),Nephrology,Chronic,Moderate,IgA deposits in mesangium,Young adults; post-infection,Hematuria; Hypertension; CKD
DIS683,IgA Nephropathy (with crescentic),Nephrology,Acute,Severe,Rapidly progressive IgA nephropathy,As above,RPGN; Renal failure
DIS684,Membranous Nephropathy (Primary),Nephrology,Chronic,Moderate,PLA2R antibody-mediated,Adults; >40,Nephrotic syndrome; Thrombosis; ESRD
DIS685,Membranous Nephropathy (Secondary),Nephrology,Chronic,Moderate,Associated with SLE, malignancy, drugs,Underlying condition,Nephrotic syndrome; Manage underlying cause
DIS686,Focal Segmental Glomerulosclerosis (Primary),Nephrology,Chronic,Severe,Podocytopathy causing scarring,Black ethnicity; young adults,Nephrotic syndrome; CKD
DIS687,Focal Segmental Glomerulosclerosis (Secondary),Nephrology,Chronic,Moderate,Adaptive form due to obesity, reflux, HIV,Obese; HIV; reflux,Nephrotic range proteinuria; Hypertension
DIS688,Minimal Change Disease (Adult),Nephrology,Acute,Moderate,Foot process effacement causing nephrotic syndrome,Adults; NSAIDs; Hodgkin's,Edema; Hypoalbuminemia; Infection risk
DIS689,Minimal Change Disease (Child),Nephrology,Acute,Moderate,Idiopathic nephrotic syndrome in children,Children 2-6; male,Edema; Peritonitis; Relapses
DIS690,Amyloidosis (AL) - Renal,Nephrology,Chronic,Severe,Light chain amyloid deposits in kidney,Multiple myeloma; MGUS,Nephrotic syndrome; CKD
DIS691,Amyloidosis (AA) - Renal,Nephrology,Chronic,Severe,Serum amyloid A deposits in chronic inflammation,Chronic infection; RA; IBD,Nephrotic syndrome; CKD
DIS692,Fibrillary Glomerulonephritis,Nephrology,Chronic,Severe,Rare GN with fibrillary deposits,Adults; associated with malignancy,Nephrotic syndrome; Hematuria; CKD
DIS693,Immunotactoid Glomerulopathy,Nephrology,Chronic,Severe,Rare GN with microtubular deposits,Adults; CLL; lymphoma,Nephrotic syndrome; Hypertension
DIS694,C3 Glomerulopathy,Nephrology,Chronic,Severe,Complement alternative pathway dysregulation,Children; adults; C3 nephritic factor,Proteinuria; Hematuria; CKD
DIS695,Dense Deposit Disease (MPGN type II),Nephrology,Chronic,Severe,Electron-dense deposits in GBM,Children; young adults,Proteinuria; Hematuria; ESRD
DIS696,Post-infectious Glomerulonephritis (Atypical),Nephrology,Acute,Moderate,GN after non-streptococcal infection,Adults; staph infection,Hypertension; Edema; Renal impairment
DIS697,Shunt Nephritis,Nephrology,Chronic,Moderate,Immune complex GN due to infected ventriculoatrial shunt,Children with hydrocephalus; infected shunt,Proteinuria; Hematuria; Renal failure
DIS698,Diabetic Nephropathy (Advanced),Nephrology,Chronic,Severe,Kimmelstiel-Wilson nodules,Long-standing diabetes,ESRD; Cardiovascular disease
